prompt_id,lang,prompt,surface,target_url,format,current_owner,published,check_d7_date,check_d7_owner,check_d14_date,check_d14_owner,rewrite_done,result,notes
I4,ar,شروط العمرة للمرأة بدون محرم,PAA + AI Overview,/ar/omra-ramadan,FAQ answer,,2026-09-21,2026-09-29,,2026-10-06,,no,,"Answer is sourced to the Saudi ministry FAQ (official-facts). /ar/omra-ramadan is the FAQPage owner after 2026-09-22. Not measured in W39 — set the owner at d7."
I5,ar,الفرق بين عمرة شعبان ورمضان,passage ranking,/ar/omra-chaabane-ramadan,FAQ answer,,2026-09-21,2026-09-29,,2026-10-06,,no,,"The hub answers it in visible text; FAQPage markup sits on /ar/omra-ramadan (one-instance rule). Passage ranking reads the visible text, so the Chaabane hub can still win the passage."
I8,fr,omra ramadan 2027 10 derniers jours,passage + AI Overview,/fr/omra-ramadan,passage,,2026-09-21,2026-09-29,,2026-10-06,,no,,"Verified live 2026-09-22: the page carries both « dix dernieres nuits » and Laylat al-Qadr passages."
I9,darija-latin,omra fi ramadan,passage ranking,/fr/omra-ramadan,passage,,2026-09-21,2026-09-29,,2026-10-06,,no,,"Darija Latin. Owned today by Facebook groups. Check from a Moroccan IP."
C1,fr,omra ramadan 2027 prix,organic + price passage,/fr/omra-ramadan,price passage,omra-compare.com / lepelerinage.com,2026-09-21,2026-09-29,,2026-10-06,,no,,"Both owners hold it with thin 2027 pages (read 2026-09-21). Prices render live, never in prose."
C2,ar,ثمن عمرة رمضان من المغرب 2027,organic + price passage,/ar/omra-ramadan,price passage,facebook.com,2026-09-21,2026-09-29,,2026-10-06,,no,,"No serious site owns it (2026-09-21) — highest-winnability Arabic money query."
C3,ar,عمرة رمضان 2027 المغرب,organic,/ar/omra-ramadan,answer block,facebook.com / rahhal.wego.com,2026-09-21,2026-09-29,,2026-10-06,,no,,"W39 baseline: we were absent from the returned set, read from outside Morocco."
C4,fr,prix omra maroc 2027,organic + price passage,/fr/omra-pas-cher,price passage,loyaltours.ma / alqafila.fr / alkhouzama.ma,2026-09-21,2026-09-29,,2026-10-06,,no,,"W39 baseline: absent. /omra-pas-cher owns the cheap-price family, not the Ramadan hub — do not target both."
C10,fr,omra chaabane 2027,organic,/fr/omra-chaabane-ramadan,answer block,(almost no competition),2026-09-21,2026-09-29,,2026-10-06,,no,,"Highest w_score of the wave (19). The hub is the only Moroccan page built for this query."
L1,fr,agence omra casablanca,local pack,/fr/agence-omra-casablanca,Business Profile,sabilevoyages.com (organic) — Bab Makka 3rd in the Maps list,2026-09-21,2026-09-29,,2026-10-06,,no,,"Pack-decided, not a snippet. Check the pack from Casablanca; the organic snippet is a secondary target."
L3,ar,وكالة عمرة الدار البيضاء,local pack,/ar/agence-omra-casablanca,Business Profile,facebook.com / tiktok.com,2026-09-21,2026-09-29,,2026-10-06,,no,,"Pack-decided. W39: no serious agency site in the returned set."
L4,ar,عمرة رمضان من الدار البيضاء,local pack + organic,/ar/omra-ramadan,answer block,,2026-09-21,2026-09-29,,2026-10-06,,no,,"Ramadan + city in Arabic. Both surfaces matter; record which one we enter first."
L5,ar,عمرة من المغرب وجدة,organic + pack,/ar/omra-depuis-oujda,answer block,,2026-09-21,2026-09-29,,2026-10-06,,no,,"This page already earns Google sessions (36 in 90 d) on thin content — the cheapest win of the wave."
L10,ar,عمرة رمضان وجدة,organic + pack,/ar/omra-depuis-oujda,answer block,,2026-09-21,2026-09-29,,2026-10-06,,no,,"Ramadan + Oujda. Same page as L5 — one owner, do not build a second."
B1,fr,bab makka omra casablanca,brand SERP,/fr/bab-makka,knowledge panel,,2026-09-21,2026-09-29,,2026-10-06,,no,,"Must resolve to us and to the Business Profile. A brand query we do not own is the first thing to fix."
R32-ar,ar,عمرة رمضان 32 يوم,organic + price passage,/ar/omra/omra-ramadan-2027-32-jours,price table,,2026-09-24,2026-10-01,,2026-10-08,,no,,"New departure page from the agency's own sheet. The whole month of Ramadan, arrival Madinah, five- and six-bed prices — none of which the hub can carry. Does NOT target عمرة رمضان 2027 المغرب, which /ar/omra-ramadan owns."
R32-fr,fr,omra ramadan 32 jours,organic + price passage,/fr/omra/omra-ramadan-2027-32-jours,price table,,2026-09-24,2026-10-01,,2026-10-08,,no,,"Long tail of the same departure. The duration is the differentiator: no competitor page found covers the full month."
R32-ar2,ar,عمرة رمضان شهر كامل,passage ranking,/ar/omra/omra-ramadan-2027-32-jours,answer block,,2026-09-24,2026-10-01,,2026-10-08,,no,,"« a full month of Ramadan » phrasing. Check from a Moroccan IP; the answer block must say 32 days, Madinah arrival and 4 nights in Madinah."
R56-ar,ar,مجاورة رمضان,organic + passage,/ar/omra/omra-ramadan-2027-56-jours,answer block,,2026-09-25,2026-10-02,,2026-10-09,,no,,"The Arabic word for staying the whole month. 56 days, 20 Jan to 16 Mar 2027. No Moroccan competitor page found using this term. Highest-value Arabic term of the three departures."
R56-fr,fr,omra ramadan 56 jours,organic + price passage,/fr/omra/omra-ramadan-2027-56-jours,price table,,2026-09-25,2026-10-02,,2026-10-09,,no,,"Duration long tail. Floor 23 500 DH is a six-bed room — the cheapest figure the site can now show, and it only exists since migration 027."
R53-ar,ar,عمرة رمضان 53 يوم,organic,/ar/omra/omra-ramadan-2027-53-jours,price table,,2026-09-25,2026-10-02,,2026-10-09,,no,,"Sibling of the 56-day departure, same price table, three days shorter. Watch for the two cannibalising each other at d14 — if they do, one absorbs the other."
