id,type,lang,prompt,intent_note,deciding_system,w_weak_top10,w_authority_range,w_surface_winnable,w_buyer,w_score,wave
I1,informational,fr,omra meilleure période,when to go; answerable from the month hubs' own data; Google autocomplete 2026-09-21,passage ranking + People Also Ask,4,4,5,2,15,2-core
I2,informational,fr,omra pas cher sans agence,DIY vs agency; a licensed agency answers honestly what Nusuk self-booking does not cover; autocomplete 2026-09-21,passage ranking + helpful content,3,4,4,2,13,3-later
I3,informational,ar,وثائق العمرة بالمغرب,documents needed; answer from the ministry FAQ facts (visa channel; passport 6 months from entry); autocomplete 2026-09-21,passage ranking + People Also Ask,4,4,5,2,15,2-core
I4,informational,ar,شروط العمرة للمرأة بدون محرم,women without mahram; sourced official answer already live in the Ramadan FAQ; autocomplete 2026-09-21,People Also Ask + AI Overview,3,4,5,2,14,1-ramadan
I5,informational,ar,الفرق بين عمرة شعبان ورمضان,the exact question our Chaâbane-Ramadan hub answers; autocomplete 2026-09-21,passage ranking,5,5,5,3,18,1-ramadan
I6,informational,ar,واش ندي معايا العمرة,Darija in Arabic script: what to pack; owned today by forums; autocomplete 2026-09-21,passage ranking + PAA,5,5,4,1,15,3-later
I7,informational,ar,تأشيرة العمرة من المغرب 2026,visa from Morocco; two official routes sourced; autocomplete 2026-09-21,passage ranking + PAA,3,4,4,2,13,2-core
I8,informational,fr,omra ramadan 2027 10 derniers jours,last ten nights; the crowd facts are sourced; autocomplete 2026-09-21,passage ranking + AI Overview,3,4,4,3,14,1-ramadan
I9,informational,darija-latin,omra fi ramadan,Darija Latin; distinct query per the harvest; seen in FB groups 2026-09-21,passage ranking,5,5,3,2,15,1-ramadan
I10,informational,ar,كم تكلفة العمرة من المغرب 2026,cost question in Arabic; real prices per room type are our edge; autocomplete 2026-09-21,passage ranking + snippet,4,4,4,3,15,2-core
C1,commercial,fr,omra ramadan 2027 prix,the wave-1 money query; SERP 2026-09-21: omra-compare.com and lepelerinage.com hold it with thin 2027 pages; we are absent,organic + price passage,4,4,4,5,17,1-ramadan
C2,commercial,ar,ثمن عمرة رمضان من المغرب 2027,Arabic wave-1 money query; facebook.com first; no serious site; autocomplete 2026-09-21,organic + price passage,5,4,4,5,18,1-ramadan
C3,commercial,ar,عمرة رمضان 2027 المغرب,SERP 2026-09-21: facebook.com and rahhal.wego.com; we are absent,organic,5,4,4,5,18,1-ramadan
C4,commercial,fr,prix omra maroc 2027,2027 pages still thin; exitvoyages.com and saphirtravelmorocco.com titled for it; autocomplete 2026-09-21,organic + price passage,4,4,4,4,16,1-ramadan
C5,commercial,ar,ثمن العمرة من المغرب,head Arabic price term; SERP 2026-09-21: facebook.com and snrtnews.com; no agency owns it,organic + snippet,4,3,4,4,15,2-core
C6,commercial,fr,prix omra 2 personnes maroc 2026,#1 autocomplete for « prix omra » and no page targets the couple framing; our per-room prices answer it,organic + price passage,5,5,5,5,20,2-core
C7,commercial,fr,omra pas cher maroc,we own /omra-pas-cher; SERP 2026-09-21: noussoukitravel.com; title alignment job,organic,4,4,4,5,17,2-core
C8,commercial,darija-latin,taman l3omra 2026,Darija Latin price query; FB groups 2026-09-21,organic,5,5,3,4,17,2-core
C9,commercial,ar,عمرة 15 يوم من المغرب,duration query; our 15-day programmes answer it; autocomplete 2026-09-21,organic,4,4,4,5,17,2-core
C10,commercial,fr,omra chaabane 2027,our category page /omra-chaabane-ramadan owns it; almost no competition seen 2026-09-21,organic,5,5,4,5,19,1-ramadan
L1,local,fr,agence omra casablanca,pack-decided; Maps list 2026-09-22: Bab Makka 3rd; Brave organic: sabilevoyages.com (FR-based) first,local pack + Business Profile,4,4,3,4,15,1-ramadan
L2,local,fr,meilleure agence omra casablanca,pack + snippet; galaxyvoyage.ma holds the snippet with one generic sentence (2026-09-21),local pack + featured snippet,4,4,4,4,16,2-core
L3,local,ar,وكالة عمرة الدار البيضاء,Arabic pack query; SERP 2026-09-21: facebook.com and tiktok.com first,local pack + Business Profile,5,4,3,4,16,1-ramadan
L4,local,ar,عمرة رمضان من الدار البيضاء,Ramadan + city in Arabic; autocomplete 2026-09-21,local pack + organic,5,4,4,5,18,1-ramadan
L5,local,ar,عمرة من المغرب وجدة,/ar/omra-depuis-oujda already earns Google sessions (36 in 90 d) on thin content,organic + pack,5,5,4,4,18,1-ramadan
L6,local,ar,عمرة من المغرب اكادير,/ar/omra-depuis-agadir already earns Google sessions (14 in 90 d),organic + pack,5,5,4,4,18,2-core
L7,local,ar,عمرة من المغرب فاس,/ar/omra-depuis-fes earns Google sessions (6 in 90 d),organic + pack,5,5,4,4,18,2-core
L8,local,darija-latin,agence 3omra marrakech,Darija Latin local; FB groups 2026-09-21,organic + pack,5,5,3,4,17,3-later
L9,local,fr,omra depuis oujda,SERP 2026-09-21: vactravel.ma and islyvoyages.com; our page exists,organic + pack,4,4,4,4,16,2-core
L10,local,ar,عمرة رمضان وجدة,Ramadan + Oujda in Arabic; autocomplete 2026-09-21,organic + pack,5,5,4,5,19,1-ramadan
B1,brand,fr,bab makka omra casablanca,brand + service; must resolve to us and the Business Profile,brand SERP + knowledge panel,5,5,5,5,20,1-ramadan
B2,brand,ar,ويكي تورز,brand in Arabic; autocomplete 2026-09-21,brand SERP,5,5,5,4,19,2-core
B3,brand,fr,wiki tours international avis,reputation query; the 141 Google reviews must be what answers it,brand SERP + reviews,5,5,5,4,19,2-core
