slug,state,category,supports_path,published_at,updated_at,author_name,author_id,title_fr,title_ar,title_en,locales,words_fr,words_ar,words_en,links_out_fr,links_out_ar,links_out_en,faq_fr,faq_ar,faq_en,has_year_in_slug,years_in_body_fr,amounts_in_body_fr,rendered_title_fr,rendered_h1_fr,schema,speakable,noindex
"jeuner-pendant-omra-ramadan","scheduled","omra","","2026-10-22T09:00:00+00:00","2026-08-23T13:21:55.865328+00:00","Wiki Tours International","","Accomplir son Omra en jeûnant : est-ce possible et comment s'organiser","أداء العمرة مع الصيام: هل هو ممكن وكيف تنظمون ذلك","Performing Umrah while fasting: is it possible, and how to organise it","fr+ar+en","393","266","363","2","2","2","0","0","0","no","2027","0","","","","no",""
"journee-ramadan-la-mecque","scheduled","omra","","2026-10-15T09:00:00+00:00","2026-08-23T13:21:55.865328+00:00","Wiki Tours International","","Une journée de Ramadan à La Mecque : à quoi ressemble vraiment le séjour","يوم من رمضان في مكة المكرمة: كيف تكون الإقامة حقاً","A Ramadan day in Makkah: what the stay actually looks like","fr+ar+en","371","244","336","2","2","2","0","0","0","no","2027","0","","","","no",""
"quelle-periode-ramadan-choisir-omra","scheduled","omra","","2026-10-08T09:00:00+00:00","2026-08-23T13:21:55.865328+00:00","Wiki Tours International","","Début, milieu ou fin du Ramadan : quelle période choisir pour son Omra","أول رمضان أم وسطه أم آخره: أي فترة تختارون للعمرة","Start, middle or end of Ramadan: which window to choose for your Umrah","fr+ar+en","376","260","352","2","2","2","0","0","0","no","2027","0","","","","no",""
"ramadan-2027-dates-calendrier","scheduled","omra","","2026-10-01T09:00:00+00:00","2026-08-23T21:28:50.781163+00:00","Wiki Tours International","","Ramadan 2027 : dates attendues et calendrier pour préparer son Omra","رمضان 2027: التواريخ المنتظرة والرزنامة لتحضير عمرتكم","Ramadan 2027: expected dates and the calendar for planning your Umrah","fr+ar+en","387","277","336","4","4","4","0","0","0","yes","2027 2026","0","","","","no",""
"imprevus-pendant-omra","scheduled","guide","","2026-09-28T09:00:00+00:00","2026-08-30T12:31:52.449144+00:00","Wiki Tours International","","Perte de passeport, maladie, égarement : que faire en cas d'imprévu pendant l'Omra","ضياع الجواز أو المرض أو التيه: ماذا تفعلون عند الطارئ أثناء العمرة","Lost passport, illness, getting separated: handling the unexpected during Umrah","fr+ar+en","398","263","352","3","3","3","0","0","0","no","","0","","","","no",""
"combien-de-fois-omra","scheduled","guide","","2026-09-24T09:00:00+00:00","2026-08-30T12:31:52.449144+00:00","Wiki Tours International","","Combien de fois peut-on faire l'Omra ? Et comment en accomplir une seconde","كم مرة يمكن أداء العمرة؟ وكيف تؤدون عمرة ثانية","How many times can you perform Umrah? And how to do a second one","fr+ar+en","339","233","297","3","3","3","0","0","0","no","","0","","","","no",""
"omra-badal-pour-un-proche","scheduled","guide","","2026-09-20T09:00:00+00:00","2026-08-30T12:31:52.449144+00:00","Wiki Tours International","","L'Omra pour un proche : accomplir la Omra al-badal","العمرة عن الغير: أداء عمرة البدل","Umrah on behalf of another: performing Umrah al-badal","fr+ar+en","364","253","319","3","3","3","0","0","0","no","","0","","","","no",""
"telephone-internet-arabie-saoudite","scheduled","guide","","2026-09-16T09:00:00+00:00","2026-08-30T12:31:52.449144+00:00","Wiki Tours International","","Téléphone et internet en Arabie saoudite : rester joignable pendant l'Omra","الهاتف والإنترنت بالسعودية: كيف تبقون على اتصال أثناء العمرة","Phone and internet in Saudi Arabia: staying reachable during Umrah","fr+ar+en","331","231","286","1","1","1","0","0","0","no","","0","","","","no",""
"bagages-omra-restrictions","live","guide","","2026-09-12T09:00:00+00:00","2026-08-30T12:31:52.449144+00:00","Wiki Tours International","","Bagages pour l'Omra : poids, restrictions et retour du Zamzam","حقائب العمرة: الوزن والممنوعات وحمل ماء زمزم","Umrah luggage: weight, restrictions and bringing Zamzam home","fr+ar+en","345","244","307","2","2","2","0","0","0","no","","0","Bagages Omra : poids, interdits, Zamzam | Bab Makka","Bagages pour l'Omra : poids, restrictions et retour du Zamzam","BlogPosting+BreadcrumbList","yes","no"
"assurance-voyage-omra","live","guide","","2026-09-08T09:00:00+00:00","2026-08-30T12:31:52.449144+00:00","Wiki Tours International","","Assurance voyage pour l'Omra : ce qui est couvert et ce qui ne l'est pas","تأمين السفر للعمرة: ما هو مغطى وما ليس كذلك","Travel insurance for Umrah: what is covered and what is not","fr+ar+en","326","219","285","2","2","2","0","0","0","no","","0","Assurance voyage Omra : ce qui est couvert | Bab Makka","Assurance voyage pour l'Omra : ce qui est couvert et ce qui ne l'est pas","BlogPosting+BreadcrumbList","yes","no"
