agency,city,domain,package,season,tier,room,price_mad,duration_days,hotel_makkah,dates,includes,price_note,url,date_read,page_dated
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان لرجال الأعمال","رمضان 2027","Business / top tier","رباعي (per person)","45000","15","Not named on page (itinerary says 'فندق بمكة المكرمة' only)","Departures printed: الأربعاء 27 يناير 2027 ; الأحد 7 فبراير ; الأربعاء 10 فبراير ; السبت 20 فبراير ; الأربعاء 24 فبراير ; الإثنين 1 مارس 2027. Route الدارالبيضاء–جدة. صلاحية الحجز لغاية 2027/01/15","Round-trip ticket (direct or indirect per programme), 90-day visa, medical insurance, hotels Madinah+Makkah, A/C buses (max 35), visits for groups >20, Rawda via Nusuk app. Excludes excess baggage.","Headline 'اعتبارا من 45,000 درهم' (struck 54,000). Room grid: فردي 92,000 ; ثنائي 54,000 ; ثلاثي 48,000 ; رباعي 45,000 درهم للفرد. Group size printed 36.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan-2027-maroc-manasiki-travel/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان ممتاز 1","رمضان 2027","Premium","رباعي (per person)","37000","15","Not named on page","Departures: 27 يناير ; 7, 10, 20, 24 فبراير ; 1 مارس 2027. الدارالبيضاء–جدة. Booking valid until 2027/01/15","Round-trip ticket, 90-day visa, medical insurance, hotels, A/C buses, visits for groups >20, Rawda via Nusuk. Excludes excess baggage.","Headline 'اعتبارا من 37,000 درهم' (struck 42,000). Grid: فردي 72,000 ; ثنائي 46,000 ; ثلاثي 42,000 ; رباعي 37,000.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan-2027-manasiki-travel-casablanca/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان ممتاز 2","رمضان 2027","Premium","رباعي (per person)","36500","15","Not named on page","Departures: 27 يناير ; 20 فبراير ; 24 فبراير ; 1 مارس 2027. الدارالبيضاء–جدة. Booking valid until 2027/01/15","Same Manasiki inclusion block (ticket, visa, insurance, hotels, buses, visits >20, Nusuk).","Headline 'اعتبارا من 36,500 dh' (struck 42,000). Grid: فردي 65,000 ; ثنائي 44,500 ; ثلاثي 39,500 ; رباعي 36,500.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan2027-maroc-manasiki-travel-casablanca/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان المميز","رمضان 2027","Distinguished / upper-mid","رباعي (per person)","32900","15","Not named on page","Departures: 27 يناير ; 7, 10, 20, 24 فبراير ; 1 مارس 2027. الدارالبيضاء–جدة. Booking valid until 2027/01/15","Same Manasiki inclusion block.","Headline 'اعتبارا من 32،900 درهم' (struck 36,000). Grid: فردي 58,000 ; ثنائي 38,000 ; ثلاثي 35,000 ; رباعي 32,900.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan-2027-marocmanasiki-travel-casablanca/","2026-09-22","Update line not captured in my read of this page; sibling pages carry '15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان سياحي 1","رمضان 2027","Tourist / mid","رباعي (per person)","28500","15","Not named on page","Departures: 27 يناير ; 7, 10, 20, 24 فبراير ; 1 مارس 2027. الدارالبيضاء–جدة. Booking valid until 2027/01/15","Same Manasiki inclusion block.","Headline 'اعتبارا من 28,500 درهم' (struck 32,000). Grid: فردي 52,000 ; ثنائي 34,000 ; ثلاثي 30,000 ; رباعي 28,500.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-touristic-ramadan-2027-maroc-casablanca/","2026-09-22","Update line not captured in my read of this page; sibling pages carry '15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان سياحي 2","رمضان 2027","Tourist / mid","رباعي (per person)","26000","15","Not named on page","Departures: 27 يناير ; 7, 10, 20, 24 فبراير ; 1 مارس 2027. الدارالبيضاء–جدة. Booking valid until 2027/01/15","Same Manasiki inclusion block.","Headline 'اعتبارا من 26,000 درهم' (struck 30,000). Grid: فردي 45,000 ; ثنائي 30,900 ; ثلاثي 28,000 ; رباعي 26,000.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-touristic-ramadan-2027-manasiki-travel-casa/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان اقتصادي 1","رمضان 2027","Economy","Headline price; cheapest printed room is رباعي 28,900","24900","35","WebFetch read named 'Kayan Al Madina' (Madinah) and 'Voco' (Makkah); not confirmed in my raw-text read — treat as unverified","Departures: 27 يناير ; 7, 10, 20, 24 فبراير ; 1 مارس 2027. Route 'الدارالبيضاء جدة عبر اسطنبول'. صلاحية الحجز لغاية 2026/09/30","Same Manasiki inclusion block; flight via Istanbul.","Headline 'اعتبارا من 24,900 درهم' (struck 35,000) is LOWER than every room price printed: فردي 62,000 ; ثنائي 40,900 ; ثلاثي 32,900 ; رباعي 28,900. Duration printed '35 يوما'.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan-2027-maroc-manasiki-travel-maroc/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان إقتصادي 2","رمضان 2027","Economy","Headline price; cheapest printed room is سداسي 23,900","16900","","Not named on page","Departures: 27 يناير ; 7, 10, 20, 24 فبراير ; 1 مارس 2027. Route 'الدارالبيضاء جدة عبر اسطنبول'. Booking valid until 2026/09/30","Same Manasiki inclusion block; flight via Istanbul.","Headline 'اعتبارا من 16,900 درهم' (struck 26,000) is LOWER than every room price printed: فردي 58,000 ; ثنائي 38,000 ; ثلاثي 32,000 ; رباعي 28,000 ; خماسي 25,000 ; سداسي 23,900. Duration printed '30 ـ 40 يوما' (range, so duration_days left blank).","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan-2027-maroc-manasiki-travel-maroc-2/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان ٱقتصادي 3","رمضان 2027","Economy","خماسي (per person)","23500","38","Not named on page","Departures: الإثنين 1 فبراير ; الخميس 4 فبراير ; الأحد 7 فبراير ; الأربعاء 10 فبراير 2027. Route via Istanbul. Booking valid until 2026/09/30","Same Manasiki inclusion block; flight via Istanbul.","Headline 'اعتبارا من 23,500 درهم' (struck 25,000). Grid: فردي 45,000 ; ثنائي 33,900 ; ثلاثي 28,900 ; رباعي 25,000 ; خماسي 23,500.","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan-2027-maroc-manasiki-travel-casa-4/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Manasiki Travel","Casablanca","manasiki.ma","عمرة رمضان ٱقتصادي 4","رمضان 2027","Economy (cheapest Manasiki)","سداسي (per person)","18200","","Not named on page","Departures: 27 يناير ; الثلاثاء 2 فبراير ; 7 فبراير ; 10 فبراير 2027. Route via Istanbul. Booking valid until 2026/09/30","Same Manasiki inclusion block; flight via Istanbul.","Headline 'اعتبارا من 18,200 درهم' (struck 22,000). Grid: فردي 35,000 ; ثنائي 23,500 ; ثلاثي 21,000 ; رباعي 19,500 ; خماسي 18,900 ; سداسي 18,200. Duration printed '30 ـ 40 يوما' (range).","https://manasiki.ma/ar/%D8%AF%D8%A7%D8%A6%D8%B1%D9%8A/omra-ramadan-2027-maroc-manasiki-travel-casa-2/","2026-09-22","Yes — 'آخر تاريخ للتحديث 15 سبتمبر 2026م'"
"Exit Voyages (وكالة أسفار معتمدة — الدار البيضاء)","Casablanca","exitvoyages.com","عمرة رمضان 2027 — 40 يوماً، عمرتان","رمضان 2027","3★–4★ (economy to mid)","غرفة خماسية (per person)","28000","40","Grid sits beside 'نما مودة 3★ 1500 m' + Madinah 'قصر الأنصار جولدن توليب 3★ 200 m'. Other pairs listed: ابراج التيسير 3★ 1000 m ; فلسطين 3★ 900 m + سجى المدينة 4★ 250 m ; ميسان المقام 4★ 250 m + سجى المدينة 4★ ; فوكو مكة 4★ 1300 m","المغادرة 10 فبراير 2027 ; 27 ليالٍ بمكة · 12 ليالٍ بالمدينة ; الخطوط الملكية المغربية رحلة مباشرة CMN→ (return AT 960 JED 20:25 → CMN 01:05 next day)","تذكرة الطائرة ذهابا وإيابا، تأشيرة العمرة، السكن بالفنادق، التنقلات من المطار. Excludes: الوجبات غير المذكورة، المصاريف الشخصية، الوزن الزائد.","Grid: غرفة خماسية 28 000 ; رباعية 29 300 ; ثلاثية 31 300 ; ثنائية 34 900. Page header also shows '34 900 درهم / للشخص'. Only one price grid read; per-hotel-pair grids not read. 'عربون مطلوب للتأكيد'.","https://exitvoyages.com/ar/voyages/omra-ramadan-2027-40-jours","2026-09-22","No publication/update date printed; no date meta"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم (طيران مباشر) — فندق تيسير الخيمة","رمضان 1448هـ / 2027","Economy hotel, direct flight","خماسية (per person)","21000","40","فندق تيسير الخيمة (1000م) ; Madinah 'المركزية'","من 01 رمضان إلى 10 شوال 1448هـ ; 4 أيام بالمدينة والباقي بمكة ; from مطار محمد الخامس","تذكرة الطيران المباشر ذهاباً وإياباً، التأشيرة الإلكترونية، السكن، النقل بالحافلات المكيفة، التأطير الديني، حصة زمزم","Default tab of 'جدول أسعار عمرة رمضان 2027' (tab '40 يوم (طيران مباشر) 21,000 د.م'): خماسية 21,000 ; رباعية 24,000 ; ثلاثية 28,000 ; ثنائية 33,000. CAUTION: the page contradicts itself — the table printed under the '40 يوم طيران مباشر (ابتداء من 21,000)' details heading starts at 20,000/22,500/26,500/31,500 and the table under the 'ترانزيت (ابتداء من 20,000)' heading starts at 21,000/23,500/27,500/32,500. Prose hotel section prints different distances (تيسير الخيمة 950م, ميزاب 1000م, تاج بارك 850م, سرايا 650م) than the table cells.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","JSON-LD datePublished 2025-08-27, dateModified 2026-08-29; body says 'التسجيل مفتوح الآن لموسم 1448هـ / 2027'"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم (طيران مباشر) — فندق ميزاب","رمضان 1448هـ / 2027","Economy hotel, direct flight","خماسية (per person)","23000","40","فندق ميزاب (1300م) ; Madinah 'المركزية'","01 رمضان – 10 شوال 1448هـ","As above","Default-tab table: خماسية 23,000 ; رباعية 25,000 ; ثلاثية 29,000 ; ثنائية 34,500. See contradiction note on the تيسير الخيمة row.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم (طيران مباشر) — فندق أبراج الكسوة","رمضان 1448هـ / 2027","Mid, direct flight","خماسية (per person)","23500","40","فندق أبراج الكسوة (1000م) ; Madinah 'المركزية'","01 رمضان – 10 شوال 1448هـ","As above","Default-tab table: خماسية 23,500 ; رباعية 25,500 ; ثلاثية 29,500 ; ثنائية 36,000.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم (طيران مباشر) — فندق سرايا الضيافة","رمضان 1448هـ / 2027","Upper-mid, direct flight","خماسية (per person)","27000","40","فندق سرايا الضيافة (650م) ; Madinah 'المركزية'","01 رمضان – 10 شوال 1448هـ","As above","Default-tab table: خماسية 27,000 ; رباعية 29,000 ; ثلاثية 34,000 ; ثنائية 42,000.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم ترانزيت (الأوفر) — فندق تيسير الخيمة","رمضان 1448هـ / 2027","Economy hotel, transit flight","خماسية (per person)","20000","40","فندق تيسير الخيمة (1000م) ; Madinah 'المركزية'","01 رمضان – 10 شوال 1448هـ ; رحلة غير مباشرة (Transit) from CMN","تذكرة الطيران ذهاباً وإياباً، التأشيرة الإلكترونية، السكن بالفنادق المذكورة، النقل بالحافلات المكيفة، التأطير الديني","Programme headline: 'ترانزيت (الأوفر - ابتداء من 20,000 درهم)'. The 20,000-minimum table (خماسية 20,000 ; رباعية 22,500 ; ثلاثية 26,500 ; ثنائية 31,500) is physically printed under the 'طيران مباشر' details heading, while the table under the 'ترانزيت' heading reads 21,000 ; 23,500 ; 27,500 ; 32,500. Reported here by the headline minimum; the page's labels are inconsistent.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم ترانزيت (الأوفر) — فندق ميزاب","رمضان 1448هـ / 2027","Economy hotel, transit flight","خماسية (per person)","21500","40","فندق ميزاب (1300م) ; Madinah 'المركزية'","01 رمضان – 10 شوال 1448هـ ; transit flight","As above","20,000-minimum table: خماسية 21,500 ; رباعية 23,500 ; ثلاثية 27,500 ; ثنائية 33,000. Table under the 'ترانزيت' heading reads 22,500 ; 24,500 ; 28,500 ; 34,500 (page inconsistency).","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم ترانزيت (الأوفر) — فندق أبراج الكسوة","رمضان 1448هـ / 2027","Mid, transit flight","خماسية (per person)","22000","40","فندق أبراج الكسوة (1000م) ; Madinah 'المركزية'","01 رمضان – 10 شوال 1448هـ ; transit flight","As above","20,000-minimum table: خماسية 22,000 ; رباعية 24,000 ; ثلاثية 28,500 ; ثنائية 33,500. Table under the 'ترانزيت' heading reads 23,500 ; 25,000 ; 28,500 ; 36,500.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة رمضان 2027 — 40 يوم ترانزيت (الأوفر) — فندق سرايا الضيافة","رمضان 1448هـ / 2027","Upper-mid, transit flight","خماسية (per person)","25500","40","فندق سرايا الضيافة (650م) ; Madinah 'المركزية'","01 رمضان – 10 شوال 1448هـ ; transit flight","As above","20,000-minimum table: خماسية 25,500 ; رباعية 27,500 ; ثلاثية 32,500 ; ثنائية 40,500. Table under the 'ترانزيت' heading reads 27,500 ; 30,000 ; 35,500 ; 43,500.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
"وكالة أسفار المكارم (Al Makarim Tours)","Salé","almakarimtours.ma","عمرة شعبان ورمضان 2027 — 60 يوم","شعبان + رمضان + شوال 1448هـ / 2027","Economy, transit","Not printed (headline only)","21000","60","'الفنادق المذكورة' (no separate table printed for this programme)","من 15 شعبان إلى 15 شوال 1448هـ ; رحلة غير مباشرة (Transit) ; 4 أيام بالمدينة والباقي بمكة","تذكرة الطيران ذهاباً وإياباً، التأشيرة الإلكترونية، السكن، النقل بالحافلات المكيفة، التأطير الديني المتواصل","Headline only: 'ابتداء من 21,000 درهم'; no room grid for the 60-day programme.","https://almakarimtours.ma/%D8%B9%D9%85%D8%B1%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9/","2026-09-22","dateModified 2026-08-29"
